iter	Passed	Remaining
546	5335	4418
547	5350	4412
548	5356	4400
549	5365	4389
550	5373	4379
551	5381	4367
552	5387	4354
553	5397	4345
554	5405	4334
555	5413	4323
556	5419	4310
557	5425	4297
558	5435	4287
559	5443	4277
560	5452	4266
561	5463	4258
562	5476	4250
563	5486	4241
564	5497	4232
565	5511	4226
566	5517	4213
567	5525	4202
568	5534	4192
569	5540	4179
570	5547	4168
571	5553	4155
572	5563	4145
573	5573	4136
574	5582	4126
575	5592	4116
576	5599	4105
577	5605	4092
578	5611	4080
579	5617	4068
580	5628	4059
581	5634	4046
582	5641	4035
583	5650	4024
584	5661	4016
585	5669	4005
586	5675	3993
587	5680	3980
588	5692	3972
589	5699	3960
590	5707	3949
591	5712	3937
592	5719	3925
593	5727	3914
594	5733	3902
595	5740	3890
596	5747	3879
597	5754	3868
598	5761	3856
599	5767	3844
600	5773	3833
601	5779	3821
602	5790	3812
603	5796	3800
604	5802	3788
605	5808	3776
606	5817	3766
607	5826	3756
608	5832	3744
609	5842	3735
610	5851	3725
611	5859	3714
612	5866	3703
613	5874	3693
614	5884	3683
615	5897	3676
616	5906	3666
617	5918	3658
618	5925	3647
619	5931	3635
620	5939	3624
621	5951	3616
622	5960	3606
623	5965	3594
624	5970	3582
625	5979	3572
626	5989	3563
627	5996	3551
628	6002	3540
629	6010	3530
630	6018	3519
631	6024	3508
632	6031	3496
633	6037	3485
